player,position,actual_points,espn_proj_pts,fantasyData_proj_pts,fantasySharks_proj_pts,ffToday_proj_pts,cbs_proj_pts,fantasyPros_proj_pts,ffAnalytics_robust_proj_pts,ffAnalytics_weighted_proj_pts,nfl_proj_pts,yahoo_proj_pts,beerSheets_proj_pts,scout_proj_pts
Carlos Hyde,RB,165.1,172.8,161,165.2,143.5,141,157.49,162.2875,161.3779992,163.3,169.4,2.092657107,179
Sammy Watkins,WR,55,164.6,155.2,180.74,160.1,154,159.48,161.15,161.7605793,144.3,155.7,2.406242515,176.5
Amari Cooper,WR,149.3,152.8,156.3,174.33,162.5,159,155.09,160.57,161.9724539,165.1,157.78,2.351541037,175.5
Brandin Cooks,WR,168.3,152.8,157.7,188.53,162.1,149,157.63,159.7425,161.224191,140.7,163.25,2.333899338,175
Latavius Murray,RB,175.2,161.5,166.8,148.05,160.7,160,159.55,161.01,162.4360204,171.3,153.4,2.353370387,174
T.Y. Hilton,WR,182.8,161.1,162.7,157.05,164.8,163,162.23,163.1375,162.1497999,163.3,154.44,2.448023433,173.3
Jeremy Hill,RB,155.3,154.8,157.6,156.2,160.2,145,145.87,153.86,154.2959132,167.7,134,1.810721758,172
DeMarco Murray,RB,240.8,169.6,156.4,167.8,172.2,138,150.94,157.315,158.015516,163.1,138.9,1.899042862,169
Ryan Mathews,RB,131.6,146.4,147.2,137.31,128.1,133,141.04,145.785,145.5491176,171,154.2,1.55383253,165.5
Matt Forte,RB,153.6,167.9,165.2,156.29,167.4,170,157.83,163.9575,166.4493276,191.5,165.1,2.207417992,165.5
Demaryius Thomas,WR,136.3,146,155.8,159.88,145.5,143,153.56,149.8025,148.413441,160.3,128.1,2.121699424,165
Donte Moncrief,WR,72.6,142.6,144.4,147.82,141,136,133.42,143.6,145.8897562,158.8,144.5,0.853102903,164
Jeremy Maclin,WR,65.5,149.1,147.9,126.09,144.5,146,148.19,147.06,146.0614465,150.2,146.62,1.464482195,164
Randall Cobb,WR,88.3,150.4,152,171.29,139.1,138,151.04,150.58,152.8955685,153.9,152.22,1.50800761,162.7
Julian Edelman,WR,132.3,138.1,129,142.79,118.3,140,138.62,138.7125,138.0520892,144.9,149.09,0.815457444,160.9
Eric Decker,WR,31.4,164.4,144.5,172.68,134.5,143,146.23,154.53,155.4333506,158.7,154,1.346847119,160.9
Jeremy Langford,RB,54.2,159.3,151.5,164.84,148.5,139,147.52,149.3625,153.0221327,148.9,144.2,1.620827149,158.3
Larry Fitzgerald,WR,136.8,138,132.2,117.93,141,138,138.37,135.255,134.6912779,124.1,145.1,0.903442014,158
Michael Floyd,WR,78.8,136.7,141.8,155.62,146.7,131,138.25,142.7,143.347854,150.4,132,0.886330584,156.4
Kelvin Benjamin,WR,134.1,140.4,137.8,146.57,113.2,139,139.22,138.345,139.3853364,138.1,140,0.763852608,156.1
Doug Baldwin,WR,159.6,142,143.5,160.63,133.5,158,141.48,145.565,148.5640841,160.5,133.4,1.201648506,155.5
Jarvis Landry,WR,137.3,149.2,143.7,158.98,149.4,132,142.58,150.2425,151.4440927,138.1,163.4,1.187605274,154.7
Golden Tate,WR,132.1,139.4,145,148.04,144.2,127,141.41,144.73,143.216735,119.1,151.66,0.897988684,154.5
Jonathan Stewart,RB,138.4,158.5,154.5,138.3,143.2,149,152.19,155.0575,154.2172246,166.9,160.8,1.555483956,150
Melvin Gordon,RB,209.6,140,142.1,139.4,141.2,123,136.67,139.96,141.6531428,144.6,147.8,1.295124626,149.4
Ameer Abdullah,RB,21.8,148.8,138.7,128.83,126.1,126,133.3,137.7475,138.0580608,144.7,129.3,0.531176034,148
Derrick Henry,RB,92.7,126.5,99.5,99.27,68.3,94,92.13,99.2925,99.71231996,109.2,98.46,-1.269891099,147
Greg Olsen,TE,127.3,134.6,140.4,108.39,130.4,135,135.09,134.795,134.0806665,142.8,135.6,2.422503385,146.3
Arian Foster,RB,13.3,129.4,129.9,126.3,132.2,122.8956,127.6,130.74,131.3126666,143.8,132.2,0.448877261,146
Jordan Reed,TE,102.6,142.4,149.1,143.06,140.8,143,132.29,141.84,143.978096,144.8,143.6,2.851834268,145.3
Marvin Jones,WR,117.3,136.8,125.9,126.3,107.7,109,118.79,120.18,120.926902,109.3,123.35,0.02885286,145.1
Allen Hurns,WR,65.7,106.9,127.5,140.93,129.5,105,122.04,124.62,123.3913339,124.5,124.8,0.189014773,145
Matt Jones,RB,67.3,127.1,131.5,134.71,131.1,131,142.8,140.7375,140.2442836,169.2,144.2,0.899366584,143.1
Jordan Matthews,WR,98.4,122,132.3,139.16,109.7,107,132.21,129.85,128.6314424,131.8,135.7,0.361493592,142.9
Seahawks,DST,113,117.7,113,150,119,207,108.4,110.5,111.8351609,107,123.9,,142
Jay Ajayi,RB,188.3,86,94.8,107.7,109.8,85,98.04,101.695,102.4249046,126.2,86.9,-1.758986094,141.5
Giovani Bernard,RB,83.3,137.2,142,124.75,132.2,123,136.49,136.065,135.6186141,134.2,137.9,0.90546413,141.3
Tyler Lockett,WR,83.1,125.7,128.7,140.66,128.1,113,110.52,128.065,130.0608624,129.6,123.5,-0.044188213,140.5
Cardinals,DST,143,120.1,119,152,136,188,117,122.3,125.4806072,93,127.1,,140
Rashad Jennings,RB,103.4,142.3,136.5,144.48,130.7,134,130.27,140.5075,141.8351564,142.6,145.9,0.76960868,140
Frank Gore,RB,176.2,152.7,145.4,137.22,126,129,138.7,140.4775,141.2284563,165,137.1,0.974423462,139.2
Duke Johnson Jr.,RB,91.2,118,131.8,117.82,131,114,124.58,129.8525,129.5261892,144.1,134.9,0.29963447,138.8
Broncos,DST,144,141.5,121,150,128,217,118,126.4,130.8864069,108,147.2,,138
John Brown,WR,64.7,137.1,138.3,119.03,114.6,111,128.5,130.9225,131.5444015,148.8,144.44,0.214833615,136.3
Panthers,DST,101,122.7,117,151,123,199,113.4,132.5,136.9875396,112,146.5,,136
Emmanuel Sanders,WR,133.6,133.7,121.9,124.73,109.6,142,128.91,128.8025,128.7396529,146.2,109.86,0.266047706,136
DeAngelo Williams,RB,82.1,90.6,104.5,105.9,109.4,105,100.82,104.8125,105.9998641,98.4,112.9,-0.830903625,135.8
Michael Crabtree,WR,150.3,125.1,119.6,124.46,127.5,120,121.32,126.5025,129.0217378,147.6,132.6,-0.094908595,133.9
Travis Kelce,TE,138,116.7,112.9,118.07,115.6,110,113.4,115.235,116.2795198,132.3,113.8,1.85185864,133.5
Delanie Walker,TE,123.1,124.8,129.4,122.21,114.5,125,118.16,122.4225,123.5457738,126.5,116.7,1.651209992,133.3
DeSean Jackson,WR,124.5,132.8,125.6,138.43,144.7,100,132.08,129.7625,127.9169729,135.6,113.7,0.472639915,133.1
Kevin White,WR,19.6,112,117.4,112.25,112.8,74,102.73,108.515,107.9398309,111.2,106.5,-1.062043777,133
LeGarrette Blount,RB,225.9,132.2,128.7,140.48,109.3,123,121.59,126.075,131.6002511,122.6,148.82,-0.006016314,133
Tavon Austin,WR,88.8,110.7,114.6,124.78,128.7,100,99.54,117.625,121.685447,142.7,111.4,-0.938125991,131.5
Chiefs,DST,138,113.4,103,158,130,186,115.6,121.9,139.4963752,111,135.2,,131
Josh Gordon,WR,0,103.8,100.9,88.92,75.6,82,95.33,96.6475,97.56801214,117.2,105.1,-1.279144918,130.1
Torrey Smith,WR,44.7,123.4,115.6,120.66,118.9,112,118.62,118.91,120.3952025,140.2,117.7,-0.306256218,130
T.J. Yeldon,RB,87.7,121.5,123.8,100.6,120.2,113,123.35,124.955,122.1089107,131.3,125.4,-0.355742112,129.7
